LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc
NAME;;;;;Temperature 2018;Relative Humidity 2018;Mean Sea Level Pressure 2018;Total Precipitation 2018;Snowfall amount raw 2018;Total Cloud Cover 2018;High Cloud Cover 2018;Medium Cloud Cover 2018;Low Cloud Cover 2018;Sunshine Duration 2018;Shortwave Radiation 2018;Wind Speed 2018;Wind Speed 2018;Wind Speed 2018;Wind Gust 2018;Temperature 2017;Relative Humidity 2017;Mean Sea Level Pressure 2017;Total Precipitation 2017;Snowfall amount raw 2017;Total Cloud Cover 2017;High Cloud Cover 2017;Medium Cloud Cover 2017;Low Cloud Cover 2017;Sunshine Duration 2017;Shortwave Radiation 2017;Wind Speed 2017;Wind Speed 2017;Wind Speed 2017;Wind Gust 2017;Temperature 2016;Relative Humidity 2016;Mean Sea Level Pressure 2016;Total Precipitation 2016;Snowfall amount raw 2016;Total Cloud Cover 2016;High Cloud Cover 2016;Medium Cloud Cover 2016;Low Cloud Cover 2016;Sunshine Duration 2016;Shortwave Radiation 2016;Wind Speed 2016;Wind Speed 2016;Wind Speed 2016;Wind Gust 2016
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature 2018  [2 m above gnd];Relative Humidity 2018  [2 m above gnd];Mean Sea Level Pressure 2018  [MSL];Total Precipitation 2018  [sfc];Snowfall amount raw 2018  [sfc];Total Cloud Cover 2018  [sfc];High Cloud Cover 2018  [high cld lay];Medium Cloud Cover 2018  [mid cld lay];Low Cloud Cover 2018  [low cld lay];Sunshine Duration 2018  [sfc];Shortwave Radiation 2018  [sfc];Wind Speed 2018  [10 m above gnd];Wind Speed 2018  [80 m above gnd];Wind Speed 2018  [900 mb];Wind Gust 2018  [sfc];Temperature 2017  [2 m above gnd];Relative Humidity 2017  [2 m above gnd];Mean Sea Level Pressure 2017  [MSL];Total Precipitation 2017  [sfc];Snowfall amount raw 2017  [sfc];Total Cloud Cover 2017  [sfc];High Cloud Cover 2017  [high cld lay];Medium Cloud Cover 2017  [mid cld lay];Low Cloud Cover 2017  [low cld lay];Sunshine Duration 2017  [sfc];Shortwave Radiation 2017  [sfc];Wind Speed 2017  [10 m above gnd];Wind Speed 2017  [80 m above gnd];Wind Speed 2017  [900 mb];Wind Gust 2017  [sfc];Temperature 2016  [2 m above gnd];Relative Humidity 2016  [2 m above gnd];Mean Sea Level Pressure 2016  [MSL];Total Precipitation 2016  [sfc];Snowfall amount raw 2016  [sfc];Total Cloud Cover 2016  [sfc];High Cloud Cover 2016  [high cld lay];Medium Cloud Cover 2016  [mid cld lay];Low Cloud Cover 2016  [low cld lay];Sunshine Duration 2016  [sfc];Shortwave Radiation 2016  [sfc];Wind Speed 2016  [10 m above gnd];Wind Speed 2016  [80 m above gnd];Wind Speed 2016  [900 mb];Wind Gust 2016  [sfc]
2018;01;04;00;00;6.90;81.00;1009.20;0.00;0.00;100.00;19.00;70.00;100.00;0.00;0.00;35.64;46.44;91.01;54.00;-0.03;86.00;1028.80;0.00;0.00;28.00;15.00;28.00;0.00;0.00;0.00;12.31;19.71;37.06;29.88;5.47;76.00;996.20;1.80;0.00;100.00;0.00;100.00;100.00;0.00;0.00;24.48;30.50;63.17;43.20
2018;01;04;01;00;7.24;83.00;1009.20;0.00;0.00;100.00;28.00;27.00;100.00;0.00;0.00;30.60;40.13;81.01;52.20;0.16;87.00;1028.20;0.00;0.00;51.00;47.00;51.00;0.00;0.00;0.00;13.80;21.35;42.93;24.84;5.43;81.00;995.50;2.10;0.00;100.00;0.00;100.00;100.00;0.00;0.00;20.57;25.26;60.41;42.84
2018;01;04;02;00;6.62;83.00;1009.20;0.00;0.00;43.00;12.00;12.00;43.00;0.00;0.00;34.65;44.69;87.34;51.48;0.47;85.00;1028.40;0.00;0.00;45.00;33.00;45.00;33.00;0.00;0.00;14.56;21.35;45.05;25.20;6.23;75.00;995.20;2.10;0.00;100.00;0.00;100.00;100.00;0.00;0.00;28.04;38.95;78.96;47.88
2018;01;04;03;00;6.51;85.00;1008.10;0.00;0.00;100.00;80.00;100.00;100.00;0.00;0.00;26.99;34.74;76.00;42.84;1.05;82.00;1027.80;0.00;0.00;100.00;51.00;100.00;100.00;0.00;0.00;17.28;23.40;47.17;26.28;7.13;75.00;994.10;0.60;0.00;100.00;0.00;47.00;100.00;0.00;0.00;30.01;39.97;75.07;43.92
2018;01;04;04;00;6.58;83.00;1007.70;0.00;0.00;100.00;42.00;100.00;100.00;0.00;0.00;30.41;39.80;78.13;44.64;1.26;77.00;1027.10;0.00;0.00;100.00;99.00;100.00;100.00;0.00;0.00;18.25;24.94;49.76;28.44;6.94;77.00;993.70;0.30;0.00;100.00;0.00;0.00;100.00;0.00;0.00;28.66;38.02;71.18;38.88
2018;01;04;05;00;6.70;84.00;1007.70;0.20;0.00;100.00;24.00;100.00;100.00;0.00;0.00;25.58;33.97;71.68;42.12;1.58;70.00;1026.70;0.00;0.00;100.00;94.00;100.00;100.00;0.00;0.00;20.06;27.78;50.61;32.40;6.52;84.00;994.00;0.30;0.00;100.00;0.00;100.00;60.00;0.00;0.00;25.28;34.49;53.84;36.36
2018;01;04;06;00;7.07;84.00;1007.20;0.50;0.00;100.00;100.00;100.00;100.00;0.00;0.00;22.55;30.41;65.88;37.08;1.72;68.00;1026.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;21.66;29.83;54.74;32.76;6.82;82.00;994.60;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;21.87;31.42;58.32;34.56
2018;01;04;07;00;7.04;82.00;1005.60;1.10;0.00;100.00;54.00;100.00;100.00;0.00;0.00;10.20;16.56;57.64;34.20;1.71;70.00;1025.40;0.00;0.00;100.00;80.00;100.00;100.00;0.00;0.00;25.15;33.56;54.66;35.64;6.01;80.00;994.60;0.00;0.00;91.00;0.00;70.00;91.00;0.00;0.00;19.88;29.16;52.35;30.96
2018;01;04;08;00;7.26;84.00;1003.90;0.60;0.00;100.00;57.00;100.00;100.00;0.00;0.00;7.79;13.20;65.52;37.08;1.73;73.00;1025.50;0.00;0.00;100.00;6.00;100.00;100.00;0.00;0.00;26.98;35.97;59.04;38.88;6.43;84.00;994.30;0.10;0.00;100.00;0.00;100.00;100.00;0.00;0.00;19.26;28.35;52.26;31.32
2018;01;04;09;00;9.00;87.00;1003.00;0.50;0.00;100.00;32.00;100.00;100.00;0.00;3.56;11.62;19.13;77.39;40.68;1.98;73.00;1025.50;0.00;0.00;100.00;0.00;100.00;8.00;0.00;21.36;29.18;36.50;65.34;39.96;6.34;84.00;995.10;0.60;0.00;100.00;0.00;100.00;100.00;0.00;9.79;26.28;35.30;57.79;37.44
2018;01;04;10;00;11.00;81.00;1002.00;0.90;0.00;100.00;82.00;100.00;100.00;0.00;30.26;27.79;38.48;84.82;58.68;2.77;73.00;1024.30;0.00;0.00;100.00;0.00;37.00;100.00;0.00;113.03;33.70;40.69;68.37;42.48;6.83;82.00;995.00;0.40;0.00;100.00;0.00;100.00;100.00;0.00;86.33;20.28;25.76;59.83;30.24
2018;01;04;11;00;11.49;80.00;1001.70;2.10;0.00;100.00;100.00;100.00;100.00;0.00;44.50;36.86;47.60;93.75;59.40;3.29;74.00;1024.50;0.10;0.00;100.00;0.00;100.00;100.00;0.00;174.44;34.88;42.16;66.46;45.00;8.05;77.00;996.00;0.90;0.00;32.00;0.00;1.00;32.00;39.57;238.52;29.53;37.06;57.04;36.72
2018;01;04;12;00;12.41;78.00;1001.80;0.50;0.00;100.00;100.00;100.00;4.00;0.00;229.62;42.21;52.39;98.66;67.32;3.04;78.00;1024.20;0.00;0.00;100.00;4.00;100.00;100.00;0.00;153.08;34.61;41.84;67.43;45.00;8.21;75.00;995.50;0.90;0.00;41.00;0.00;22.00;41.00;33.83;254.54;27.96;34.25;52.69;36.72
2018;01;04;13;00;13.09;79.00;1002.50;0.10;0.00;100.00;57.00;100.00;100.00;0.00;182.45;42.16;52.65;96.19;58.32;2.49;79.00;1021.50;0.10;0.00;100.00;100.00;100.00;100.00;0.00;60.52;32.83;41.20;64.19;41.40;8.35;71.00;994.90;0.30;0.00;32.00;0.00;32.00;24.00;39.57;315.95;29.78;37.37;51.96;38.88
2018;01;04;14;00;12.76;80.00;1003.00;0.10;0.00;100.00;33.00;100.00;100.00;0.00;125.49;42.08;53.68;96.84;61.56;2.48;81.00;1021.50;0.20;0.00;100.00;100.00;100.00;100.00;0.00;55.18;34.94;43.60;68.77;45.36;8.43;68.00;995.60;0.20;0.00;0.00;0.00;0.00;0.00;60.00;320.40;29.38;36.26;50.17;37.44
2018;01;04;15;00;12.62;81.00;1003.20;0.50;0.00;100.00;38.00;100.00;100.00;0.00;73.87;41.66;53.03;96.51;65.52;2.71;79.00;1021.00;0.10;0.00;100.00;0.00;39.00;100.00;0.00;98.79;39.96;48.60;68.10;45.00;8.32;67.00;995.50;0.20;0.00;2.00;0.00;2.00;0.00;58.72;261.66;25.57;32.14;45.22;33.48
2018;01;04;16;00;12.62;80.00;1003.10;0.50;0.00;100.00;100.00;100.00;100.00;0.00;56.96;41.13;52.21;94.78;60.84;2.25;80.00;1021.40;0.10;0.00;100.00;0.00;0.00;100.00;0.00;89.00;40.35;50.09;63.41;47.16;7.65;70.00;996.10;0.00;0.00;75.00;0.00;53.00;75.00;12.13;159.31;24.59;32.11;44.63;31.68
2018;01;04;17;00;12.41;79.00;1003.70;0.50;0.00;100.00;100.00;100.00;100.00;0.00;13.35;35.76;46.58;90.29;50.76;1.66;82.00;1022.00;0.10;0.00;100.00;0.00;0.00;100.00;0.00;30.26;39.24;49.32;64.49;45.00;7.26;71.00;996.20;0.00;0.00;100.00;0.00;39.00;100.00;0.00;37.38;22.31;30.74;47.36;30.24
2018;01;04;18;00;12.17;81.00;1003.90;0.80;0.00;100.00;100.00;100.00;100.00;0.00;0.00;37.83;49.35;95.57;65.52;1.29;87.00;1022.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;41.07;50.82;65.17;48.60;6.44;75.00;996.70;0.00;0.00;88.00;0.00;11.00;88.00;0.00;0.00;18.20;26.61;51.40;27.00
2018;01;04;19;00;12.21;80.00;1003.50;0.90;0.00;100.00;77.00;100.00;100.00;0.00;0.00;38.08;49.26;94.50;55.08;1.43;87.00;1021.50;0.30;0.07;100.00;0.00;0.00;100.00;0.00;0.00;41.07;49.79;57.29;46.08;5.91;77.00;996.60;0.00;0.00;45.00;0.00;0.00;45.00;0.00;0.00;14.69;24.34;50.56;24.48
2018;01;04;20;00;11.92;82.00;1003.60;0.80;0.00;100.00;34.00;100.00;100.00;0.00;0.00;37.14;48.31;92.99;62.28;1.92;88.00;1022.10;0.60;0.14;100.00;0.00;0.00;100.00;0.00;0.00;35.46;43.63;61.17;43.20;5.08;78.00;996.50;0.00;0.00;7.00;0.00;0.00;7.00;0.00;0.00;14.00;23.98;50.30;24.12
2018;01;04;21;00;11.81;81.00;1004.50;0.60;0.00;100.00;28.00;100.00;100.00;0.00;0.00;36.32;47.25;90.29;63.36;2.46;89.00;1022.90;0.20;0.00;100.00;0.00;0.00;100.00;0.00;0.00;30.07;38.02;60.25;39.60;4.84;76.00;996.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.51;24.80;54.84;30.24
2018;01;04;22;00;11.59;81.00;1004.60;0.60;0.00;100.00;100.00;100.00;100.00;0.00;0.00;35.41;46.33;89.40;50.04;2.41;85.00;1023.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;24.54;31.11;56.67;35.64;4.40;77.00;996.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.89;22.40;51.70;27.36
2018;01;04;23;00;11.51;80.00;1004.40;0.30;0.00;100.00;100.00;100.00;100.00;0.00;0.00;34.04;44.86;86.99;51.48;1.39;85.00;1023.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;21.63;31.24;57.58;33.84;3.92;79.00;996.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.66;18.58;44.98;27.72
2018;01;05;00;00;11.30;77.00;1004.80;0.00;0.00;100.00;70.00;13.00;100.00;0.00;0.00;31.43;41.90;82.63;46.44;1.61;82.00;1023.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;21.66;31.10;59.63;35.64;2.88;83.00;996.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.59;9.02;37.64;17.64
2018;01;05;01;00;11.17;77.00;1004.90;0.10;0.00;100.00;35.00;0.00;100.00;0.00;0.00;29.83;39.96;79.84;43.92;1.40;82.00;1023.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;25.96;34.51;65.48;40.32;3.39;84.00;995.40;0.00;0.00;100.00;0.00;100.00;88.00;0.00;0.00;11.30;12.74;32.43;17.64
2018;01;05;02;00;10.84;77.00;1005.70;1.00;0.00;100.00;23.00;0.00;100.00;0.00;0.00;29.18;39.22;76.72;41.40;1.40;81.00;1024.50;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;24.27;30.97;64.75;34.92;3.41;91.00;995.10;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;10.14;12.22;25.84;24.12
2018;01;05;03;00;10.14;81.00;1006.10;1.10;0.00;100.00;24.00;0.00;100.00;0.00;0.00;22.86;31.21;67.60;37.80;1.61;75.00;1024.80;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;23.23;28.73;62.28;34.56;3.57;94.00;994.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;8.56;9.00;22.37;10.80
2018;01;05;04;00;9.90;83.00;1005.60;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;15.54;23.40;60.44;29.52;0.94;80.00;1026.50;0.00;0.00;45.00;0.00;0.00;45.00;0.00;0.00;16.98;23.51;56.33;30.24;3.61;95.00;994.40;0.40;0.00;100.00;0.00;100.00;100.00;0.00;0.00;6.92;10.81;17.23;8.64
2018;01;05;05;00;9.92;82.00;1005.10;0.10;0.00;100.00;0.00;47.00;100.00;0.00;0.00;16.28;24.25;59.94;29.88;-0.21;83.00;1027.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.82;21.75;57.96;27.00;4.96;92.00;994.80;1.70;0.00;100.00;0.00;100.00;100.00;0.00;0.00;11.50;17.21;32.07;20.52
2018;01;05;06;00;9.07;82.00;1005.00;0.00;0.00;82.00;38.00;82.00;0.00;0.00;0.00;12.10;21.87;59.52;29.16;-0.87;86.00;1027.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.59;15.38;65.35;26.64;4.73;90.00;995.70;1.70;0.00;100.00;0.00;100.00;100.00;0.00;0.00;12.98;19.35;39.56;24.12
2018;01;05;07;00;8.76;83.00;1005.00;0.00;0.00;19.00;12.00;19.00;0.00;0.00;0.00;11.49;22.07;67.94;28.08;-0.95;83.00;1029.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;9.69;11.46;62.22;27.00;5.20;86.00;996.40;0.70;0.00;100.00;0.00;100.00;21.00;0.00;0.00;16.87;26.41;46.61;27.36
2018;01;05;08;00;9.52;81.00;1003.90;0.00;0.00;100.00;13.00;100.00;0.00;0.00;0.00;15.46;26.58;70.84;30.60;-0.92;78.00;1029.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;12.43;12.77;53.98;25.20;4.34;86.00;996.20;0.00;0.00;11.00;0.00;11.00;0.00;34.00;0.00;11.30;20.87;40.19;22.32
2018;01;05;09;00;9.72;80.00;1003.60;0.00;0.00;16.00;14.00;16.00;0.00;49.79;23.14;14.12;23.57;70.68;29.88;-0.61;78.00;1031.30;0.00;0.00;80.00;0.00;0.00;80.00;8.94;22.25;12.82;13.18;41.10;21.24;4.75;84.00;996.20;0.00;0.00;82.00;0.00;82.00;0.00;7.66;23.14;9.20;16.32;46.33;20.88
