Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;01;04;00;00;13.71;32.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.88;90.00;12.68;83.48;5.15;192.09;15.84
2018;01;04;01;00;12.87;34.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.52;90.00;12.96;88.41;4.83;206.57;16.56
2018;01;04;02;00;11.83;36.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.80;90.00;12.96;90.00;4.33;228.37;16.56
2018;01;04;03;00;11.07;38.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;180.00;12.02;98.62;4.02;243.43;14.40
2018;01;04;04;00;10.84;38.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.14;251.57;10.50;112.17;4.02;259.70;10.44
2018;01;04;05;00;10.67;38.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.55;261.87;10.01;127.69;3.62;264.29;11.16
2018;01;04;06;00;10.46;38.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.26;263.66;9.45;139.64;2.90;262.87;11.52
2018;01;04;07;00;10.24;39.00;1016.50;0.00;0.00;0.00;0.00;0.00;0.00;14.40;2.67;3.62;264.29;9.02;151.39;1.94;248.20;12.24
2018;01;04;08;00;12.38;34.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;136.17;2.55;261.87;9.45;162.26;2.41;206.57;13.32
2018;01;04;09;00;17.21;26.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;334.64;6.76;154.80;6.38;163.61;3.32;192.53;11.16
2018;01;04;10;00;21.04;20.00;1016.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;503.74;9.79;143.97;9.79;143.97;5.09;188.13;13.32
2018;01;04;11;00;23.50;17.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;625.67;10.69;135.00;10.95;136.33;6.64;192.53;13.68
2018;01;04;12;00;25.16;15.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;690.64;9.18;138.18;9.45;139.64;7.56;180.00;13.32
2018;01;04;13;00;26.10;15.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;693.31;5.48;156.80;5.69;161.57;6.49;183.18;14.04
2018;01;04;14;00;26.41;16.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;632.79;3.67;191.31;3.67;191.31;5.69;198.43;14.04
2018;01;04;15;00;26.37;16.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;517.98;3.26;186.34;3.26;186.34;5.59;194.93;14.40
2018;01;04;16;00;25.86;18.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;353.33;2.52;180.00;2.52;180.00;4.80;192.99;17.64
2018;01;04;17;00;23.32;18.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;17.34;157.53;5.00;120.26;5.69;124.70;7.21;177.14;5.04
2018;01;04;18;00;21.23;19.00;1012.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.12;7.24;95.71;8.47;102.26;7.59;185.44;7.20
2018;01;04;19;00;19.65;22.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.93;92.60;10.18;98.13;8.09;200.85;9.00
2018;01;04;20;00;18.37;24.00;1013.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.92;90.00;11.21;95.53;8.79;214.99;10.44
2018;01;04;21;00;17.38;25.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.20;90.00;11.52;90.00;9.16;225.00;12.96
2018;01;04;22;00;16.70;27.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.77;93.58;11.90;86.53;9.18;228.18;13.32
2018;01;04;23;00;15.57;29.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.97;104.04;10.85;84.29;8.94;229.90;12.60
2018;01;05;00;00;14.82;30.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.02;225.00;9.06;83.16;7.93;230.53;11.52
2018;01;05;01;00;14.35;31.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.38;260.54;6.52;83.66;6.13;220.24;10.44
2018;01;05;02;00;13.64;33.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.85;273.01;4.02;79.70;4.68;202.62;11.52
2018;01;05;03;00;12.93;35.00;1013.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.00;286.26;1.08;360.00;3.67;191.31;11.88
2018;01;05;04;00;11.94;37.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.98;295.64;4.20;300.96;2.55;188.13;10.44
2018;01;05;05;00;10.80;40.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;300.26;6.61;299.36;0.72;180.00;8.64
2018;01;05;06;00;9.84;43.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.39;302.47;7.57;295.35;0.72;360.00;7.20
2018;01;05;07;00;9.37;44.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;14.20;2.67;8.71;299.74;7.90;294.23;2.10;30.96;6.48
2018;01;05;08;00;12.17;37.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;134.39;5.80;299.74;7.09;293.96;3.10;54.46;5.40
2018;01;05;09;00;17.13;28.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;331.97;3.32;310.60;5.80;299.74;3.42;71.57;7.20
2018;01;05;10;00;21.04;22.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;501.96;1.80;323.13;2.04;315.00;3.60;90.00;5.04
2018;01;05;11;00;23.94;18.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;625.67;1.30;33.69;1.14;18.43;2.90;97.13;2.88
2018;01;05;12;00;25.41;16.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;692.42;2.41;63.43;1.94;68.20;2.52;90.00;3.96
2018;01;05;13;00;25.99;14.00;1013.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;695.98;3.05;45.00;2.55;45.00;2.31;51.34;4.68
2018;01;05;14;00;26.15;14.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;637.24;3.42;18.43;2.62;15.95;2.28;18.43;13.68
2018;01;05;15;00;25.95;14.00;1011.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;523.32;3.67;11.31;3.24;360.00;2.55;8.13;13.32
2018;01;05;16;00;25.30;14.00;1011.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;358.67;4.38;9.46;3.62;5.71;2.90;7.13;11.88
2018;01;05;17;00;22.60;20.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;18.03;159.31;5.63;26.57;5.48;23.20;3.22;26.57;5.40
2018;01;05;18;00;20.62;22.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.12;8.22;28.81;9.02;28.61;4.20;30.96;10.80
2018;01;05;19;00;19.46;24.00;1012.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.71;29.74;11.89;35.13;4.90;36.03;13.32
2018;01;05;20;00;18.23;26.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.59;33.02;14.57;39.99;4.84;41.99;13.68
2018;01;05;21;00;16.96;29.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.79;33.69;15.79;43.15;4.84;48.01;15.84
2018;01;05;22;00;16.02;31.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.49;33.69;16.32;48.58;5.12;50.71;19.08
2018;01;05;23;00;14.86;34.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;30.26;16.58;55.62;4.84;41.99;18.00
2018;01;06;00;00;13.81;37.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.02;26.57;17.23;63.97;4.69;32.47;14.40
2018;01;06;01;00;13.02;39.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.22;26.57;16.77;75.07;4.51;28.61;14.76
2018;01;06;02;00;12.34;41.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.41;26.57;15.84;88.70;5.24;15.95;14.76
2018;01;06;03;00;11.51;43.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.61;26.57;15.03;106.70;6.64;12.53;2.52
2018;01;06;04;00;11.18;44.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.72;90.00;14.51;119.74;7.77;13.39;3.24
2018;01;06;05;00;11.20;43.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08;180.00;13.04;129.40;8.23;23.20;4.32
2018;01;06;06;00;10.95;43.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.31;218.66;11.30;142.77;8.89;31.76;5.40
2018;01;06;07;00;10.66;44.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;14.02;2.67;3.40;237.99;9.69;158.20;9.42;43.45;6.12
2018;01;06;08;00;12.81;39.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;134.39;3.42;251.57;8.47;167.74;9.59;55.71;5.76
2018;01;06;09;00;17.33;29.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;332.86;5.82;158.20;5.24;164.05;9.50;65.38;7.92
2018;01;06;10;00;21.22;23.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;503.74;7.99;144.16;7.20;143.13;9.26;76.50;9.00
2018;01;06;11;00;23.68;19.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;627.45;6.99;124.51;7.29;122.91;7.59;84.56;7.56
2018;01;06;12;00;24.68;17.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;694.20;6.12;90.00;5.76;90.00;5.77;93.58;5.40
2018;01;06;13;00;25.36;15.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;698.65;5.00;59.74;4.51;61.39;4.51;61.39;8.28
2018;01;06;14;00;25.55;15.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;639.91;5.12;39.29;4.39;34.99;4.61;38.66;8.64
2018;01;06;15;00;25.37;15.00;1011.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;525.99;5.32;28.30;4.68;22.62;4.51;28.61;5.76
2018;01;06;16;00;24.73;15.00;1011.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;362.23;6.03;17.35;5.59;14.93;5.35;19.65;6.84
2018;01;06;17;00;22.13;21.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;18.72;161.98;7.24;26.57;7.73;27.76;7.59;31.43;8.28
2018;01;06;18;00;20.26;23.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.01;7.73;27.76;10.00;30.26;8.09;32.28;10.80
2018;01;06;19;00;19.22;25.00;1012.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.59;31.43;11.59;36.16;7.99;35.84;12.60
2018;01;06;20;00;18.24;27.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.70;36.25;12.23;42.61;7.70;37.41;14.04
2018;01;06;21;00;17.48;28.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.90;37.57;12.48;46.17;7.42;39.09;14.76
2018;01;06;22;00;16.56;30.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.58;45.00;12.31;52.13;6.92;38.66;14.76
2018;01;06;23;00;15.61;32.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.60;53.13;11.79;58.74;6.30;30.96;14.76
2018;01;07;00;00;14.77;34.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.28;71.57;11.30;67.52;5.96;25.02;14.40
2018;01;07;01;00;14.10;36.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08;90.00;11.09;76.87;6.15;20.56;14.40
2018;01;07;02;00;13.58;37.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;180.00;11.18;86.31;6.83;18.43;11.88
2018;01;07;03;00;13.25;37.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.80;270.00;10.82;93.81;6.95;21.25;8.28
2018;01;07;04;00;13.00;38.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.90;306.03;9.06;96.84;7.09;23.96;9.72
2018;01;07;05;00;11.82;42.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.90;316.85;4.32;90.00;7.41;29.05;8.28
2018;01;07;06;00;9.67;49.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.93;316.47;2.41;333.43;7.79;33.69;13.68
2018;01;07;07;00;8.54;53.00;1016.60;0.00;0.00;0.00;0.00;0.00;0.00;13.85;1.78;9.42;313.45;5.40;306.87;7.93;39.47;13.68
2018;01;07;08;00;11.23;45.00;1017.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;132.61;6.64;310.60;4.83;296.57;7.90;46.85;12.96
2018;01;07;09;00;16.07;34.00;1017.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;330.19;1.30;303.69;3.22;296.57;7.49;54.78;5.04
2018;01;07;10;00;20.15;27.00;1017.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;500.18;3.10;125.54;2.31;128.66;6.61;60.64;5.76
2018;01;07;11;00;22.96;22.00;1016.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;623.89;5.35;109.65;5.35;109.65;4.83;63.43;6.48
2018;01;07;12;00;24.27;20.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;691.53;5.04;90.00;4.68;90.00;2.97;75.96;5.40
2018;01;07;13;00;24.79;19.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;695.98;3.10;35.54;2.41;26.57;2.28;18.43;5.04
2018;01;07;14;00;25.02;19.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;639.02;3.67;11.31;3.24;360.00;3.26;6.34;4.68
2018;01;07;15;00;24.89;19.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;526.88;4.68;360.00;4.32;360.00;4.32;360.00;5.04
2018;01;07;16;00;24.30;19.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;363.12;5.76;360.00;5.40;360.00;5.40;360.00;7.92
2018;01;07;17;00;22.14;26.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;19.42;163.76;6.73;15.52;6.92;8.97;6.21;10.01;7.20
2018;01;07;18;00;20.16;28.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.90;8.70;24.44;10.50;22.17;6.49;19.44;8.64
2018;01;07;19;00;18.97;30.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.20;30.58;13.28;32.83;6.92;27.90;14.40
2018;01;07;20;00;17.71;34.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.50;36.38;14.80;41.05;6.88;42.88;16.92
2018;01;07;21;00;16.65;37.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.15;40.91;15.02;45.97;6.41;51.84;17.64
